date,009826_close,usd_twd,VT_close_usd,VT_distribution_usd,VT_total_return_usd_index,VT_close_twd,009826_index,VT_index,VT_price_index,difference_pp,retrieved_at_utc
2026-08-03,10.08,32.438,157.61,0.0,100.0,5112.553180000001,100.0,100.0,100.0,0.0,2026-09-26T19:31:42.082378+00:00
2026-08-04,10.18,32.447,160.45,0.0,101.80191612207345,5206.12115,100.9920634920635,101.83016130504092,101.83016130504092,-0.8380978129774235,2026-09-26T19:31:42.082378+00:00
2026-08-05,10.29,32.315,160.17,0.0,101.62426241989719,5175.893549999999,102.08333333333333,101.23891855536647,101.23891855536647,0.8444147779668612,2026-09-26T19:31:42.082378+00:00
2026-08-06,10.28,32.261,159.92,0.0,101.46564304295411,5159.17912,101.98412698412697,100.91198933993289,100.91198933993286,1.0721376441940862,2026-09-26T19:31:42.082378+00:00
2026-08-07,10.22,32.288,161.3,0.0,102.34122200367996,5208.0544,101.38888888888889,101.86797509263266,101.86797509263266,-0.4790862037437762,2026-09-26T19:31:42.082378+00:00
2026-08-10,10.32,32.231,160.97,0.0,102.13184442611507,5188.22407,102.38095238095238,101.48009981189081,101.48009981189085,0.9008525690615699,2026-09-26T19:31:42.082378+00:00
2026-08-11,10.32,32.278,160.82,0.0,102.03667279994922,5190.9479599999995,102.38095238095238,101.53337827969544,101.53337827969544,0.8475741012569387,2026-09-26T19:31:42.082378+00:00
2026-08-12,10.29,32.246,161.53,0.0,102.4871518304676,5208.69638,102.08333333333333,101.88053202803064,101.88053202803064,0.20280130530268536,2026-09-26T19:31:42.082378+00:00
2026-08-13,10.31,32.168,162.39,0.0,103.03280248715181,5223.761519999999,102.28174603174605,102.17520162792711,102.17520162792708,0.10654440381894403,2026-09-26T19:31:42.082378+00:00
2026-08-14,10.3,32.046,162.25,0.0,102.94397563606368,5199.4635,102.1825396825397,101.69993967671547,101.69993967671549,0.48260000582422435,2026-09-26T19:31:42.082378+00:00
2026-08-17,10.28,31.852,161.83,0.0,102.67749508279931,5154.609160000001,101.98412698412697,100.8226022990728,100.8226022990728,1.1615246850541752,2026-09-26T19:31:42.082378+00:00
2026-08-18,10.18,31.945,160.06,0.0,101.55446989404224,5113.1167000000005,100.9920634920635,100.0110222814347,100.01102228143472,0.9810412106287885,2026-09-26T19:31:42.082378+00:00
2026-08-19,10.12,31.937,160.7,0.0,101.96053549901653,5132.2759,100.39682539682539,100.38577046156023,100.38577046156026,0.011054935265164545,2026-09-26T19:31:42.082378+00:00
2026-08-20,10.16,31.925,159.93,0.0,101.47198781803183,5105.76525,100.79365079365078,99.86723013412252,99.86723013412254,0.9264206595282616,2026-09-26T19:31:42.082378+00:00
2026-08-21,10.13,31.848,160.77,0.0,102.00494892456062,5120.2029600000005,100.49603174603175,100.14962739223769,100.14962739223769,0.3464043537940569,2026-09-26T19:31:42.082378+00:00
2026-08-24,10.13,31.854,160.1,0.0,101.57984899435316,5099.8254,100.49603174603175,99.75104845755365,99.75104845755362,0.744983288478096,2026-09-26T19:31:42.082378+00:00
2026-08-25,10.14,31.868,160.99,0.0,102.14453397627057,5130.42932,100.59523809523809,100.34965191305845,100.34965191305842,0.24558618217963613,2026-09-26T19:31:42.082378+00:00
2026-08-26,10.16,31.818,160.87,0.0,102.0683966753379,5118.56166,100.79365079365078,100.11752405869355,100.11752405869349,0.6761267349572364,2026-09-26T19:31:42.082378+00:00
2026-08-27,10.16,31.708,161.57,0.0,102.51253093077852,5123.061559999999,100.79365079365078,100.20554074705979,100.20554074705974,0.5881100465909981,2026-09-26T19:31:42.082378+00:00
2026-08-28,10.13,31.628,161.01,0.0,102.157223526426,5092.42428,100.49603174603175,99.60628478000497,99.60628478000496,0.8897469660267774,2026-09-26T19:31:42.082378+00:00
2026-08-31,10.1,31.666,160.55,0.0,101.86536387285072,5083.9763,100.1984126984127,99.44104483623192,99.4410448362319,0.7573678621807716,2026-09-26T19:31:42.082378+00:00
2026-09-01,10.07,31.633,159.31,0.0,101.078611763213,5039.45323,99.90079365079364,98.57018699999126,98.57018699999125,1.3306066508023804,2026-09-26T19:31:42.082378+00:00
2026-09-02,10.04,31.728,160.11,0.0,101.58619376943088,5079.970080000001,99.6031746031746,99.36268437994028,99.36268437994028,0.24049022323431757,2026-09-26T19:31:42.082378+00:00
2026-09-03,10.05,31.755,161.76,0.0,102.63308165725525,5136.6888,99.70238095238095,100.47208545613601,100.47208545613601,-0.7697045037550652,2026-09-26T19:31:42.082378+00:00
2026-09-04,10.16,31.63,161.73,0.0,102.61404733202208,5115.519899999999,100.79365079365078,100.05802814944997,100.05802814944995,0.7356226442008165,2026-09-26T19:31:42.082378+00:00
2026-09-08,10.09,31.535,160.92,0.0,102.10012055072649,5074.6122,100.09920634920636,99.25788586124791,99.25788586124787,0.8413204879584413,2026-09-26T19:31:42.082378+00:00
2026-09-09,10.05,31.505,159.89,0.0,101.44660871772095,5037.334449999999,99.70238095238095,98.52874430149203,98.52874430149201,1.1736366508889233,2026-09-26T19:31:42.082378+00:00
2026-09-10,10.01,31.548,158.53,0.0,100.58371930715057,5001.30444,99.30555555555556,97.82400816024371,97.82400816024371,1.4815473953118499,2026-09-26T19:31:42.082378+00:00
2026-09-11,9.97,31.638,159.94,0.0,101.47833259310957,5060.1817200000005,98.90873015873017,98.97563001975463,98.97563001975462,-0.0668998610244671,2026-09-26T19:31:42.082378+00:00
2026-09-14,9.98,31.688,158.73,0.0,100.71061480870502,5029.83624,99.0079365079365,98.38208157279253,98.38208157279253,0.6258549351439768,2026-09-26T19:31:42.082378+00:00
2026-09-15,9.98,31.848,158.03,0.0,100.26648055326439,5032.93944,99.0079365079365,98.44277922992676,98.44277922992674,0.5651572780097496,2026-09-26T19:31:42.082378+00:00
2026-09-16,9.98,31.888,157.41,0.0,99.87310449844553,5019.4900800000005,99.0079365079365,98.17971380006261,98.1797138000626,0.8282227078738913,2026-09-26T19:31:42.082378+00:00
2026-09-17,10.0,31.881,159.22,0.0,101.02150878751348,5076.09282,99.20634920634922,99.28684634239833,99.28684634239832,-0.08049713604911801,2026-09-26T19:31:42.082378+00:00
2026-09-18,10.03,31.808,158.55,0.4084,100.85552947148024,5043.1584,99.50396825396824,98.89674706914245,98.64265900897679,0.6072211848257894,2026-09-26T19:31:42.082378+00:00
2026-09-21,10.02,31.758,160.89,0.0,102.34403113633842,5109.54462,99.4047619047619,100.19858625155173,99.94115347275466,-0.7938243467898332,2026-09-26T19:31:42.082378+00:00
2026-09-22,10.1,31.708,161.24,0.0,102.56667027424456,5112.59792,100.1984126984127,100.25846171329138,100.00087510092169,-0.06004901487868608,2026-09-26T19:31:42.082378+00:00
2026-09-23,10.12,31.716,159.33,0.0,101.35169669309964,5053.310280000001,100.39682539682539,99.09582626297392,98.84122672343527,1.3009991338514766,2026-09-26T19:31:42.082378+00:00
2026-09-24,10.06,31.78,159.05,0.0,101.17358538277475,5054.609,99.8015873015873,99.12129426797526,98.86662929538466,0.6802930336120454,2026-09-26T19:31:42.082378+00:00
